add_soliton,num_solitons,base_soliton_angle,angle_jitter_deg,shot_photons,read_noise_std,gaussian_sigma,pixel_size,propagation_distance,phase_scale,blend,base_gain_low,base_gain_high,overexposure_prob,overexposure_gain_low,overexposure_gain_high,shift_i,shift_j,shift_prob,soliton_depth,soliton_width_px,fringe_gain,fringe_period_px,fringe_decay_px,fringe_phase,side_antisym,side_antisym_scale_px,diagonal_antisym,diagonal_antisym_scale_px,diagonal_angle_rad,y_fade_px,y_fade_power,disc_real_prob
False,0,0.0,0.942280650138855,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002978058997541666,0.8999373912811279,0.899955153465271,1.1192115545272827,1.1194294691085815,0.9994381070137024,1.1200000047683716,1.4199999570846558,-0.7829180955886841,-0.8565927743911743,3.1655793009122135e-07,0.8200244307518005,1.4001349210739136,0.8000500798225403,11.000226974487305,5.321212291717529,0.015256218612194061,0.8410937786102295,9.0,-0.3990761339664459,15.0,0.0,25.000961303710938,1.899999976158142,0.8190315365791321
True,1,0.0,0.9522378444671631,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029922672547399998,0.8999764919281006,0.8999807834625244,1.1195980310440063,1.1196644306182861,0.9998512268066406,1.1200000047683716,1.4199999570846558,-0.7954277992248535,-0.6818877458572388,4.646446782885505e-08,0.8200068473815918,1.4000415802001953,0.8000168800354004,11.00007152557373,5.139850616455078,0.016680270433425903,0.8449926376342773,9.0,-0.3995535373687744,15.0,0.0,25.00042152404785,1.899999976158142,0.8169041872024536
True,1,0.0,0.9458755254745483,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029875487089157104,0.8999724984169006,0.8999707102775574,1.1194795370101929,1.119552731513977,0.999716579914093,1.1200000047683716,1.4199999570846558,-0.4813821315765381,-0.7606362104415894,1.3032371271037846e-07,0.8200129270553589,1.400079369544983,0.8000386357307434,11.000121116638184,5.189140796661377,0.015744410455226898,0.8429944515228271,9.0,-0.3994121849536896,15.0,0.0,25.00060272216797,1.899999976158142,0.8154588937759399
False,0,0.0,0.9558360576629639,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002990573178976774,0.8999758958816528,0.8999814391136169,1.1195125579833984,1.1197277307510376,0.9997914433479309,1.1200000047683716,1.4199999570846558,-0.5363572835922241,-0.8235107660293579,7.548093350351337e-08,0.8200100660324097,1.400043249130249,0.8000180721282959,11.000085830688477,5.157235145568848,0.016300804913043976,0.8454360961914062,9.0,-0.39956921339035034,15.0,0.0,25.00035285949707,1.899999976158142,0.8145753741264343
False,0,0.0,0.95618736743927,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029871787410229445,0.8999662399291992,0.8999679684638977,1.119353175163269,1.1194713115692139,0.9997236132621765,1.1200000047683716,1.4199999570846558,-0.6484100818634033,-0.7694082260131836,1.3073649540729093e-07,0.8200141787528992,1.4000955820083618,0.8000338673591614,11.000115394592285,5.198836326599121,0.01635490357875824,0.8433631658554077,9.0,-0.3993680775165558,15.0,0.0,25.00076675415039,1.899999976158142,0.8140512704849243
False,0,0.0,0.8952252864837646,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002967006294056773,0.899764895439148,0.8997797966003418,1.118024230003357,1.1184905767440796,0.9983843564987183,1.1200000047683716,1.4199999570846558,-0.5104224681854248,-0.47293519973754883,2.3674024305364583e-06,0.8200820088386536,1.400601863861084,0.8002342581748962,11.000855445861816,5.313121318817139,0.013331007212400436,0.8286134004592896,9.0,-0.397430956363678,15.0,0.0,25.00459861755371,1.899999976158142,0.8127507567405701
False,0,0.0,0.9526193141937256,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029864765238016844,0.8999717235565186,0.8999786376953125,1.119497537612915,1.1195915937423706,0.9997441172599792,1.1200000047683716,1.4199999570846558,-0.5431118011474609,-0.8185802698135376,9.036994441657953e-08,0.8200101852416992,1.4000569581985474,0.8000262379646301,11.000102996826172,5.168983459472656,0.01629079133272171,0.8440895080566406,9.0,-0.39937418699264526,15.0,0.0,25.000505447387695,1.899999976158142,0.8125872015953064
True,1,0.0,0.9704135656356812,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029903065878897905,0.899977445602417,0.899979829788208,1.1195242404937744,1.1196401119232178,0.9998351335525513,1.1200000047683716,1.4199999570846558,-0.6910674571990967,-0.6919935941696167,5.393304647327568e-08,0.8200101256370544,1.4000446796417236,0.8000220656394958,11.000061988830566,5.186512470245361,0.01564861088991165,0.8451756238937378,9.0,-0.39958077669143677,15.0,0.0,25.000431060791016,1.899999976158142,0.810945987701416
False,0,0.0,0.9505841732025146,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029787966050207615,0.8999282717704773,0.8999422192573547,1.1190977096557617,1.1193522214889526,0.9994101524353027,1.1200000047683716,1.4199999570846558,-0.47231006622314453,-0.7502318620681763,4.0491912045581557e-07,0.8200291395187378,1.4001935720443726,0.8000794649124146,11.000255584716797,5.303899765014648,0.01559947058558464,0.8381665945053101,9.0,-0.39896899461746216,15.0,0.0,25.001502990722656,1.899999976158142,0.8086361885070801
True,1,0.0,0.9461168050765991,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029825009405612946,0.8999464511871338,0.8999515771865845,1.119266390800476,1.1193184852600098,0.9995406866073608,1.1200000047683716,1.4199999570846558,-0.5618778467178345,-0.7298080921173096,2.745112510638137e-07,0.8200231790542603,1.4001446962356567,0.8000604510307312,11.000167846679688,5.223886013031006,0.015003040432929993,0.8409234285354614,9.0,-0.3990575075149536,15.0,0.0,25.000917434692383,1.899999976158142,0.8060958385467529
